;$FILEVERSION=1.1
;$STARTTIME=45822.7925831713
;
;   Start time: 14/06/2025 19:01:19.186.0
;   Generated by PCAN-View v5.3.0.942
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   252)       374.8  Rx     1829F401  8  00 00 00 00 00 00 00 00 
   253)       375.4  Rx     182AF401  8  00 00 00 00 00 00 00 00 
   254)       376.0  Rx     182BF401  8  00 00 00 00 00 00 00 00 
   255)       376.6  Rx     182CF401  8  00 00 00 00 00 00 00 00 
   256)       377.1  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
   257)       409.5  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
   258)       410.3  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
   259)       410.8  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
   260)       411.4  Rx     1803F401  8  0C 94 08 01 8B 08 0C 00 
   261)       412.0  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
   262)       412.5  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
   263)       413.1  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
   264)       413.7  Rx     1807F401  8  00 01 5A A8 02 A0 7F 00 
   265)       414.2  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
   266)       414.8  Rx     1809F401  8  00 00 00 00 00 00 00 00 
   267)       415.3  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
   268)       415.9  Rx     1812F401  8  93 08 98 08 86 08 90 08 
   269)       416.4  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
   270)       417.0  Rx     1814F401  8  94 08 91 08 91 08 94 08 
   271)       417.5  Rx     1815F401  8  94 08 92 08 94 08 8F 08 
   272)       418.1  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
   273)       418.6  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
   274)       419.1  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
   275)       419.7  Rx     1819F401  8  92 08 90 08 93 08 93 08 
   276)       420.2  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
   277)       420.8  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
   278)       421.4  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
   279)       422.0  Rx     1824F401  8  00 00 00 00 00 00 00 00 
   280)       422.6  Rx     1825F401  8  00 00 00 00 00 00 00 00 
   281)       423.1  Rx     1826F401  8  00 00 00 00 00 00 00 00 
   282)       423.7  Rx     1827F401  8  00 00 00 00 00 00 00 00 
   283)       424.3  Rx     1828F401  8  00 00 00 00 00 00 00 00 
   284)       424.9  Rx     1829F401  8  00 00 00 00 00 00 00 00 
   285)       425.5  Rx     182AF401  8  00 00 00 00 00 00 00 00 
   286)       426.1  Rx     182BF401  8  00 00 00 00 00 00 00 00 
   287)       426.7  Rx     182CF401  8  00 00 00 00 00 00 00 00 
   288)       427.2  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
   289)       459.5  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
   290)       460.1  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
   291)       460.7  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
   292)       461.2  Rx     1803F401  8  0C 94 08 01 8B 08 0C 00 
   293)       461.8  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
   294)       462.4  Rx     1805F401  8  0C 93 08 06 8D 08 01 00 
   295)       463.0  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
   296)       463.5  Rx     1807F401  8  00 01 5A A8 02 A0 82 00 
   297)       464.1  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
   298)       464.7  Rx     1809F401  8  00 00 00 00 00 00 00 00 
   299)       465.2  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
   300)       465.8  Rx     1812F401  8  92 08 98 08 86 08 90 08 
   301)       466.3  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
   302)       466.8  Rx     1814F401  8  94 08 91 08 91 08 94 08 
   303)       467.4  Rx     1815F401  8  94 08 92 08 94 08 8F 08 
   304)       467.9  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
   305)       468.5  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
   306)       469.1  Rx     1818F401  8  90 08 93 08 8F 08 92 08 
   307)       469.6  Rx     1819F401  8  92 08 90 08 93 08 93 08 
   308)       470.1  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
   309)       470.7  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
   310)       471.3  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
   311)       471.9  Rx     1824F401  8  00 00 00 00 00 00 00 00 
   312)       472.4  Rx     1825F401  8  00 00 00 00 00 00 00 00 
   313)       473.0  Rx     1826F401  8  00 00 00 00 00 00 00 00 
   314)       473.6  Rx     1827F401  8  00 00 00 00 00 00 00 00 
   315)       474.2  Rx     1828F401  8  00 00 00 00 00 00 00 00 
   316)       474.8  Rx     1829F401  8  00 00 00 00 00 00 00 00 
   317)       475.4  Rx     182AF401  8  00 00 00 00 00 00 00 00 
   318)       476.0  Rx     182BF401  8  00 00 00 00 00 00 00 00 
   319)       476.6  Rx     182CF401  8  00 00 00 00 00 00 00 00 
   320)       477.1  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
   321)       509.5  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
   322)       510.1  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
   323)       510.7  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
   324)       511.3  Rx     1803F401  8  0C 94 08 01 8B 08 0C 00 
   325)       511.9  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
   326)       512.4  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
   327)       513.0  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
   328)       513.5  Rx     1807F401  8  00 01 5B A8 02 A0 82 00 
   329)       514.1  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
   330)       514.7  Rx     1809F401  8  00 00 00 00 00 00 00 00 
   331)       515.2  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
   332)       515.8  Rx     1812F401  8  92 08 98 08 86 08 90 08 
   333)       516.3  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
   334)       516.8  Rx     1814F401  8  94 08 91 08 91 08 94 08 
   335)       517.4  Rx     1815F401  8  94 08 92 08 94 08 8F 08 
   336)       518.0  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
   337)       518.5  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
   338)       519.0  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
   339)       519.6  Rx     1819F401  8  92 08 91 08 93 08 93 08 
   340)       520.1  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
   341)       520.7  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
   342)       521.2  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
